Compare Experiments Report,Mon Nov 17 13:39:42 2025,,,,,,,,,,,,,,TFS,Probe Count,,TFS,Probe Count,,TFS,Probe Count,,TFS,Probe Count,,TFS,Probe Count,,,,,
CYP3A16,9.2002,1.2,0,0,8.0002,22.170776,,"[Minus], [# of exons: 13], [Gene type: NM]","chr5:146,197,178-146,226,307 chr5:146,228,336-146,228,429 chr5:146,230,439-146,230,592",NM_007820,"Cyp3a16, cytochrome P450, family 3, subfamily a, polypeptide 16, cytochrome P450 3A16|CYPIIIA16|cytochrome P450, 3a16, Predicted to have demethylase activity; retinoic acid 4-hydroxylase activity; and steroid hydroxylase activity. Predicted to be involved in oxidative demethylation and steroid metabolic process. Predicted to localize to endoplasmic reticulum membrane. Is expressed in liver. Human ortholog(s) of this gene implicated in B-lymphoblastic leukemia/lymphoma; acute lymphoblastic leukemia; chronic myeloid leukemia; and essential hypertension. Orthologous to several human genes including CYP3A5 (cytochrome P450 family 3 subfamily A member 5).","monooxygenase activity (GO:0004497); iron ion binding (GO:0005506); endoplasmic reticulum (GO:0005783); endoplasmic reticulum membrane (GO:0005789); steroid metabolic process (GO:0008202); steroid hydroxylase activity (GO:0008395); retinoic acid 4-hydroxylase activity (GO:0008401); membrane (GO:0016020); oxidoreductase activity (GO:0016491); oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705); oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen (GO:0016712); heme binding (GO:0020037); demethylase activity (GO:0032451); intracellular membrane-bounded organelle (GO:0043231); metal ion binding (GO:0046872); testosterone 6-beta-hydroxylase activity (GO:0050649); aromatase activity (GO:0070330); oxidative demethylation (GO:0070989); estrogen 16-alpha-hydroxylase activity (GO:0101020)",Cyp3a16,0.12506096,-7.9961007,22.170776,2.4257927,0.000790303,0.34061931,-2.9358288,8.7242745,3.113901,0.13734169,0.51592988,-1.9382479,16.410879,8.6120478,1,0.2003343,-4.9916565,4.127947,0.63453019,0.00205379
BMPER,9.2002,1.2,0,0,8.0002,2.1736332,,"[~1%  IN BLACKLIST], [Plus], [# of exons: 15], [Gene type: NM]","chr9:23,027,520-23,289,659",NM_028472,"Bmper, BMP-binding endothelial regulator, BMP-binding endothelial regulator protein|bone morphogenetic protein-binding endothelial cell precursor-derived regulator|crossveinless-2, Predicted to be an extracellular matrix structural constituent. Involved in inner ear development; negative regulation of BMP signaling pathway; and ureteric bud development. Localizes to extracellular region. Is expressed in several structures, including axial skeleton cervical region; branchial arch; embryo mesenchyme; nervous system; and neural ectoderm. Orthologous to human BMPER (BMP binding endothelial regulator).",blood vessel development (GO:0001568); ureteric bud development (GO:0001657); blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:0002043); extracellular matrix structural constituent (GO:0005201); protein binding (GO:0005515); extracellular region (GO:0005576); extracellular space (GO:0005615); regulation of endothelial cell migration (GO:0010594); negative regulation of BMP signaling pathway (GO:0030514); extracellular matrix (GO:0031012); endothelial cell activation (GO:0042118); regulation of angiogenesis (GO:0045765); inner ear development (GO:0048839); regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393); collagen-containing extracellular matrix (GO:0062023); positive regulation of ERK1 and ERK2 cascade (GO:0070374); positive regulation of sprouting angiogenesis (GO:1903672),Bmper,0.27531611,-3.6321885,0.061572954,0.015881092,0.043905837,0.50764616,-1.969876,0.17249087,0.092939894,0.21147438,0.71432063,-1.3999316,0.17761906,0.13265521,1,0.28832362,-3.4683249,2.1736332,0.49799631,0.003439286
NC_AS_C11_20789,9.1001,1.1,0,0,8.0001,1.5998687,,"[Minus], [# Lnc isoforms: 17], [# of exons: 7], [Gene type: lncRNA]","chr11:76,716,194-76,743,336",,"lnc_as_chr11_20789, ",,lnc_as_chr11_20789,59.71307,59.7130699,0,0.082961178,0.030158212,9.1274497,9.1274497,0.021703014,0.20127399,0.11673133,5.9984596,5.9984596,0.047212486,0.37682929,0.078141553,6.9214454,6.9214454,0.30737802,1.5998687,0.003090645
COL5A3,9.1001,1.1,0,0,8.0001,21.520786,,"[Minus], [# of exons: 67], [Gene type: NM]","chr9:20,574,501-20,619,511",NM_001317388 NM_016919,"Col5a3, collagen, type V, alpha 3, collagen alpha-3(V) chain|Pro-alpha3(V)|procollagen, type V, alpha 3, Exhibits heparin binding activity. Involved in cell-matrix adhesion. Localizes to collagen type V trimer. Is expressed in several structures, including bone; embryo mesenchyme; extraembryonic component; placenta; and tongue. Orthologous to human COL5A3 (collagen type V alpha 3 chain).",structural molecule activity (GO:0005198); extracellular matrix structural constituent (GO:0005201); collagen type V trimer (GO:0005588); extracellular space (GO:0005615); cell-matrix adhesion (GO:0007160); heparin binding (GO:0008201); extracellular matrix structural constituent conferring tensile strength (GO:0030020); extracellular matrix organization (GO:0030198); extracellular matrix (GO:0031012); proteoglycan binding (GO:0043394); collagen-containing extracellular matrix (GO:0062023),Col5a3,6.3028395,6.3028395,0.15099768,1.0089055,0.048057458,3.4952459,3.4952459,1.195257,4.5554785,0.16848747,3.4927278,3.4927278,1.2617077,4.4675564,0.87835395,5.687766,5.687766,4.5851684,21.520786,0.003439286
NC_INTER_C10_17890,8.0002,0,0,0,8.0002,85.29288,,"[Minus], [# Lnc isoforms: 10], [# of exons: 1], [Gene type: lncRNA]","chr10:4,625,483-4,626,813",,"lnc_inter_chr10_17890, ",,lnc_inter_chr10_17890,0.22576938,-4.4292985,1.115166,0.23133527,1,0.2728304,-3.6652806,3.953275,1.01729,1,0.080809482,-12.3747854,7.5871745,0.65452562,0.28113789,0.13588894,-7.3589506,85.29288,8.7812066,0.048675206
NC_INTER_C12_10681,8.0002,0,0,0,8.0002,1.8102481,,"[Minus], [# Lnc isoforms: 12], [# of exons: 3], [Gene type: lncRNA]","chr12:78,139,528-78,146,418",XR_004937633 XR_381704 XR_872834,"Gm35189, predicted gene, 35189; lnc_inter_chr12_10681, ",,Gm35189 lnc_inter_chr12_10681,8.1721735,8.1721735,0,0.034057135,1,0.033806957,-29.5797101,0.21298018,0,0.75330921,0.2403229,-4.1610683,0.45202726,0.095144255,1,0.093085851,-10.7427712,1.8102481,0.11717451,0.018039418
NC_INTER_C1_15689,8.0002,0,0,0,8.0002,109.71011,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr1:13,391,280-13,392,520",,"lnc_inter_chr1_15689, ",,lnc_inter_chr1_15689,1,1,0,0,1,0.24697489,-4.0489946,2.2506969,0.6331127,1,0.16037741,-6.2352921,2.5208823,0.39643177,0.60558166,0.11216052,-8.9157934,109.71011,8.52041,1.05E-05
NC_INTER_C1_53,8.0002,0,0,0,8.0002,14.127546,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr1:13,385,641-13,388,927",,"lnc_inter_chr1_53, ",,lnc_inter_chr1_53,1,1,0,0,1,0.037673558,-26.5438163,0.40266903,0,0.77169406,0.56314526,-1.7757408,0.15312117,0.099798248,1,0.15824452,-6.3193344,14.127546,1.5720379,0.001474953
NC_INTER_C10_18070,8.0002,0,0,0,8.0002,223.50262,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr10:17,351,780-17,352,244",,"Gm47771, ; lnc_inter_chr10_18070, ",,Gm47771 lnc_inter_chr10_18070,1,1,0,0,1,0.24578989,-4.0685156,6.739803,1.7476923,0.57208145,0.11247221,-8.8910852,3.6869201,0.35266887,1,0.13310193,-7.5130388,223.50262,19.842409,0.000261624
NC_INTER_C11_21075,8.0002,0,0,0,8.0002,42.42421,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr11:94,578,114-94,579,102",,"lnc_inter_chr11_21075, ",,lnc_inter_chr11_21075,1,1,0,0,1,0.028096239,-35.5919523,1.5006709,0,1,0.3283547,-3.0454871,0.50926736,0.16596004,1,0.011559449,-86.5093163,42.42421,0.22038456,0.005585043
NC_INTER_C11_21076,8.0002,0,0,0,8.0002,25.088181,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr11:94,579,242-94,581,353",,"lnc_inter_chr11_21076, ",,lnc_inter_chr11_21076,0.28665961,-3.488458,0.042137155,0,1,0.078001749,-12.8202253,0.26877501,0,1,0.040305547,-24.8104808,0.5988949,0,1,0.00932366,-107.2540198,25.088181,0.1031454,0.003106153
NC_INTER_C11_21077,8.0002,0,0,0,8.0002,41.483859,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr11:94,585,779-94,588,683",,"lnc_inter_chr11_21077, ",,lnc_inter_chr11_21077,1,1,0,0,1,0.053937105,-18.5401125,1.0082288,0.046291793,0.35441054,0.030815897,-32.4507837,0.57396421,0,1,0.00723281,-138.2588614,41.483859,0.18667366,0.000768825
NC_INTER_C11_21079,8.0002,0,0,0,8.0002,12.249649,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr11:94,590,743-94,592,106",,"lnc_inter_chr11_21079, ",,lnc_inter_chr11_21079,0.28665973,-3.4884566,0.06526158,0,1,0.26411638,-3.7862098,0.39270418,0.098629029,1,0.036094481,-27.7050669,1.1584111,0,1,0.00814135,-122.8297574,12.249649,0,0.036566185
NC_INTER_C14_25085,8.0002,0,0,0,8.0002,24.299634,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr14:19,190,556-19,191,645",,"lnc_inter_chr14_25085, ",,lnc_inter_chr14_25085,0.056266118,-17.7726853,0.72900153,0,1,0.28455353,-3.5142772,0.55099444,0.099518958,1,0.030975789,-32.2832781,1.5059939,0,0.75017275,0.085324538,-11.719958,24.299634,1.6785175,0.004425112
NC_INTER_C14_26164,8.0002,0,0,0,8.0002,10.631087,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr14:112,765,528-112,766,444",,"lnc_inter_chr14_26164, ",,lnc_inter_chr14_26164,0.28544382,-3.5033163,0.092585076,0,1,1.0587133,1.0587133,0.80085869,0.85211024,1,0.37928763,-2.6365215,0.52007799,0.23432859,1,0.045816675,-21.8261148,10.631087,0.23770736,0.023758338
NC_INTER_C15_26833,8.0002,0,0,0,8.0002,39.200827,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr15:60,709,466-60,712,951",,"lnc_inter_chr15_26833, ",,lnc_inter_chr15_26833,0.24133832,-4.1435609,0.051201844,0,1,0.01987324,-50.3189217,0.71136212,0,0.21871882,0.035299926,-28.3286711,0.53073822,0,1,0.000829162,-1206.036819,39.200827,0,1.08E-10
NC_INTER_C15_26835,8.0002,0,0,0,8.0002,29.636089,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr15:60,717,636-60,718,879",,"lnc_inter_chr15_26835, ",,lnc_inter_chr15_26835,1,1,0,0,1,0.03298715,-30.3148351,1.1629075,0,0.94758175,0.040938675,-24.4267796,1.1974671,0,0.92394651,0.011244453,-88.9327393,29.636089,0.17517292,0.003763919
NC_INTER_C15_26837,8.0002,0,0,0,8.0002,106.54602,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr15:60,724,696-60,724,998",,"lnc_inter_chr15_26837, ",,lnc_inter_chr15_26837,1,1,0,0,1,0.076546533,-13.063949,1.8078318,0,1,0.10667819,-9.3739875,1.332864,0,1,0.003605665,-277.3413587,106.54602,0,1.17E-06
NC_INTER_C2_33450,8.0002,0,0,0,8.0002,81.610414,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr2:52,228,394-52,229,212",,"lnc_inter_chr2_33450, ",,lnc_inter_chr2_33450,1,1,0,0,1,0.59818812,-1.6717149,1.0342074,0.69452531,1,0.38859769,-2.5733555,2.7220545,1.1873004,1,0.28536077,-3.5043359,81.610414,17.533025,0.012017963
NC_INTER_C2_34810,8.0002,0,0,0,8.0002,9.1011536,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr2:160,047,682-160,051,895",,"lnc_inter_chr2_34810, ",,lnc_inter_chr2_34810,1,1,0,0,1,0.42346315,-2.3614806,0.38788432,0.17345806,1,0.62488505,-1.6002943,0.085114186,0.03884129,1,0.20463549,-4.8867379,9.1011536,1.427971,0.035380149
NC_INTER_C4_38545,8.0002,0,0,0,8.0002,10.253059,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr4:109,299,827-109,301,488",,"lnc_inter_chr4_38545, ",,lnc_inter_chr4_38545,1,1,0,0,1,0.043780352,-22.8412966,0.72280948,0,1,0.041992962,-23.8135144,0.68866755,0,1,0.10976128,-9.1106807,10.253059,0.84101433,0.020394099
NC_INTER_C6_5136,8.0002,0,0,0,8.0002,2.7556866,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr6:51,612,113-51,614,949",,"lnc_inter_chr6_5136, ",,lnc_inter_chr6_5136,1,1,0,0,1,0.06481684,-15.4280894,0.25489321,0,1,0.074169012,-13.4827198,0.32137835,0,1,0.014644663,-68.2842613,2.7556866,0,0.044526549
NC_INTER_C6_5773,8.0002,0,0,0,8.0002,606.88607,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr6:144,319,659-144,319,886",,"lnc_inter_chr6_5773, ",,lnc_inter_chr6_5773,3.7030425,3.7030425,0,0.45180015,1,0.92493549,-1.0811565,0.68499166,0.47742795,1,0.18642243,-5.3641613,0.88661878,0,1,0.24094633,-4.1503019,606.88607,112.30481,0.000528375
NC_INTER_C7_43723,8.0002,0,0,0,8.0002,13.332275,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr7:3,207,784-3,212,775",,"lnc_inter_chr7_43723, ",,lnc_inter_chr7_43723,1,1,0,0,1,1.908892,1.908892,0.25862189,0.62395988,1,0.3794431,-2.6354413,0.48849361,0.19705088,1,0.28484495,-3.5106819,13.332275,2.8229545,0.018039418
NC_INTER_C7_43809,8.0002,0,0,0,8.0002,14.661486,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr7:7,077,284-7,078,697",,"lnc_inter_chr7_43809, ",,lnc_inter_chr7_43809,0.96444842,-1.0368621,0.12628339,0.074701422,1,0.41128176,-2.4314231,0.7318639,0.26697727,1,0.26613357,-3.7575116,2.5160536,0.69508867,1,0.089369771,-11.1894658,14.661486,1.0304693,0.003175999
NC_INTER_C7_44068,8.0002,0,0,0,8.0002,25.591403,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr7:27,080,664-27,081,850",,"lnc_inter_chr7_44068, ",,lnc_inter_chr7_44068,1,1,0,0,1,0.2680628,-3.7304691,0.13110717,0,1,0.23712936,-4.2171075,0.67879414,0.18098229,1,0.10049763,-9.9504834,25.591403,2.0882178,0.005823227
NC_INTER_C7_6006,8.0002,0,0,0,8.0002,10.306528,,"[Minus], [# Lnc isoforms: 1], [# of exons: 1], [Gene type: lncRNA]","chr7:27,085,745-27,087,356",,"lnc_inter_chr7_6006, ",,lnc_inter_chr7_6006,1,1,0,0,1,0.25013032,-3.9979159,0.083062662,0,1,0.18887599,-5.2944791,0.58511132,0.10178058,1,0.073987796,-13.5157425,10.306528,0.56732017,0.01739692
NC_INTER_C6_43605,8.0002,0,0,0,8.0002,66.077447,,"[Minus], [# Lnc isoforms: 25], [# of exons: 1], [Gene type: lncRNA]","chr6:144,484,138-144,491,424",,"lnc_inter_chr6_43605, ",,lnc_inter_chr6_43605,2.221705,2.221705,0.011639848,0.032206102,1,0.33142375,-3.0172853,0.69622176,0.23747386,0.62651213,0.35402499,-2.8246593,0.41478176,0.15726031,1,0.27090906,-3.6912755,66.077447,13.181232,0.001573916
NC_INTER_C8_46399,8.0002,0,0,0,8.0002,34.859021,,"[Minus], [# Lnc isoforms: 25], [# of exons: 1], [Gene type: lncRNA]","chr8:58,042,842-58,045,059",,"lnc_inter_chr8_46399, ",,lnc_inter_chr8_46399,0.52885714,-1.8908698,0.91069981,0.43911837,1,0.48415701,-2.0654457,1.7250642,0.9272596,1,0.36339953,-2.7517922,5.9593627,2.3029004,0.38971244,0.21660494,-4.6166998,34.859021,5.8745775,0.000693342
NC_INTER_C13_24647,8.0002,0,0,0,8.0002,205.18477,,"[Minus], [# Lnc isoforms: 27], [# of exons: 1], [Gene type: lncRNA]","chr13:97,413,944-97,418,528",,"lnc_inter_chr13_24647, ",,lnc_inter_chr13_24647,0.15243343,-6.5602408,3.6584698,0.52559911,0.11066977,0.25009061,-3.9985508,10.451311,3.3231383,0.35081206,0.14357031,-6.9652282,22.548732,3.5558013,0.21372681,0.1932782,-5.1738892,205.18477,26.393498,0.044008618
NC_INTER_C10_9281,8.0002,0,0,0,8.0002,22.764288,,"[Minus], [# Lnc isoforms: 2], [# of exons: 1], [Gene type: lncRNA]","chr10:114,690,127-114,693,537",,"lnc_inter_chr10_9281, ",,lnc_inter_chr10_9281,0.16999436,-5.8825482,0.049740721,0,1,0.24651131,-4.0566091,0.82172853,0.16655013,0.85431377,0.22275464,-4.4892443,1.6546196,0.3990539,0.95983578,0.16337996,-6.1207016,22.764288,2.6418939,0.009059061
NC_INTER_C11_9995,8.0002,0,0,0,8.0002,23.032907,,"[Minus], [# Lnc isoforms: 2], [# of exons: 1], [Gene type: lncRNA]","chr11:94,572,914-94,574,127",,"lnc_inter_chr11_9995, ",,lnc_inter_chr11_9995,1,1,0,0,1,0.050232787,-19.9073169,0.66189917,0,1,0.052810316,-18.9356943,0.79338289,0,1,0.017429302,-57.3746446,23.032907,0.17950531,0.019097994
NC_INTER_C14_11847,8.0002,0,0,0,8.0002,15.717187,,"[Minus], [# Lnc isoforms: 2], [# of exons: 1], [Gene type: lncRNA]","chr14:19,184,226-19,186,238",,"lnc_inter_chr14_11847, ",,lnc_inter_chr14_11847,0.34832998,-2.8708411,0.17478257,0.050973476,1,0.076074252,-13.145052,1.1769401,0.080843487,0.18759797,0.091404434,-10.9403884,1.1949808,0.1066824,0.46436432,0.047974947,-20.8442125,15.717187,0.50947928,1.32E-06
NC_INTER_C7_44067,8.0002,0,0,0,8.0002,3.5706152,,"[Minus], [# Lnc isoforms: 2], [# of exons: 1], [Gene type: lncRNA]","chr7:27,075,416-27,080,609",,"lnc_inter_chr7_44067, ",,lnc_inter_chr7_44067,1,1,0,0,1,0.85786762,-1.165681,0.081479107,0.062608981,1,0.053875813,-18.5612049,0.19439154,0,1,0.025192168,-39.6948763,3.5706152,0.062461076,0.000474692
NC_INTER_C7_44074,8.0002,0,0,0,8.0002,2.2623672,,"[Minus], [# Lnc isoforms: 2], [# of exons: 1], [Gene type: lncRNA]","chr7:27,137,187-27,140,844",,"lnc_inter_chr7_44074, ",,lnc_inter_chr7_44074,0.034327291,-29.1313408,0.30970168,0,0.85535421,0.018263642,-54.753593,0.82953093,0,0.068447333,0.071239174,-14.0372207,0.81523761,0.044746611,0.15055732,0.01458127,-68.581133,2.2623672,0,0.017434709
NC_INTER_C1_292,8.0002,0,0,0,8.0002,11.227154,,"[Minus], [# Lnc isoforms: 53], [# of exons: 6], [Gene type: lncRNA]","chr1:71,937,681-71,985,206",AK144102 XR_004936166 XR_373491 XR_373492,"Gm28818, predicted gene 28818; lnc_inter_chr1_292, ",,Gm28818 lnc_inter_chr1_292,0.51709794,-1.9338696,1.0255938,0.49326582,1,0.62825785,-1.5917031,1.3211337,0.84638858,1,0.58007588,-1.7239124,2.5230754,1.559861,1,0.3664865,-2.7286135,11.227154,3.0911954,0.021053747
NC_INTER_C17_13857,8.0002,0,0,0,8.0002,4.4775233,,"[Minus], [# Lnc isoforms: 5], [# of exons: 5], [Gene type: lncRNA]","chr17:33,087,906-33,102,666",NR_033585,"Cyp4f41-ps, cytochrome P450, family 4, subfamily f, polypeptide 41 pseudogene; lnc_inter_chr17_13857, ",,Cyp4f41-ps lnc_inter_chr17_13857,0.73105397,-1.3678881,0.11405136,0.07763602,1,0.42505353,-2.3526448,0.42367858,0.19787081,1,0.28115172,-3.5567985,0.64148483,0.18788717,0.76195776,0.1972974,-5.0684905,4.4775233,0.64999672,0.043758671
NC_INTER_C11_9778,8.0002,0,0,0,8.0002,8.0238011,,"[Minus], [# Lnc isoforms: 7], [# of exons: 3], [Gene type: lncRNA]","chr11:61,037,142-61,049,773",NM_001331114,"Aldh3a2, aldehyde dehydrogenase family 3, subfamily A2, aldehyde dehydrogenase family 3 member A2|alcohol dehydrogenase family 3, subfamily A2|aldehyde dehydrogenase 3|aldehyde dehydrogenase 4, liver microsomal (class 3) regulator|fatty aldehyde dehydrogenase variant form; lnc_inter_chr11_9778,9779,9780, ","response to reactive oxygen species (GO:0000302); 3-chloroallyl aldehyde dehydrogenase activity (GO:0004028); aldehyde dehydrogenase (NAD) activity (GO:0004029); nucleus (GO:0005634); mitochondrion (GO:0005739); mitochondrial inner membrane (GO:0005743); peroxisome (GO:0005777); endoplasmic reticulum (GO:0005783); cytosol (GO:0005829); cellular aldehyde metabolic process (GO:0006081); lipid metabolic process (GO:0006629); fatty acid metabolic process (GO:0006631); sesquiterpenoid metabolic process (GO:0006714); central nervous system development (GO:0007417); peripheral nervous system development (GO:0007422); epidermis development (GO:0008544); membrane (GO:0016020); integral component of membrane (GO:0016021); oxidoreductase activity (GO:0016491); oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620); phytol metabolic process (GO:0033306); extrinsic component of endoplasmic reticulum membrane (GO:0042406); protein homodimerization activity (GO:0042803); intracellular membrane-bounded organelle (GO:0043231); glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity (GO:0043878); formaldehyde metabolic process (GO:0046292); hexadecanal metabolic process (GO:0046458); long-chain-alcohol oxidase activity (GO:0046577); long-chain-aldehyde dehydrogenase activity (GO:0050061); medium-chain-aldehyde dehydrogenase activity (GO:0052814)",Aldh3a2 lnc_inter_chr11_9778,0.11070047,-9.0333855,0.10309515,0.008119597,1,0.2016126,-4.9600075,0.52954168,0.10489714,0.62815834,0.1399915,-7.1432908,0.76270284,0.10382535,0.16231821,0.20082442,-4.979474,8.0238011,1.3167057,0.021053747
NC_INTER_C6_5626,8.0002,0,0,0,8.0002,2.9084884,,"[Minus], [# Lnc isoforms: 8], [# of exons: 5], [Gene type: lncRNA]","chr6:127,268,080-127,291,792",,"lnc_inter_chr6_5626,5627, ",,lnc_inter_chr6_5626,0.55075685,-1.8156833,0.02556032,0.014221166,1,0.13678304,-7.310848,0.091479087,0.011338678,0.61803451,0.1072651,-9.3226966,0.078081071,0.006901078,0.88575246,0.10659041,-9.3817067,2.9084884,0.22684537,8.73E-07
